Id;LotArea;YearBuilt;BedroomAbvGr;GarageCars;GarageArea;SalePrice
1;8450;2003;3;2;548;208500
2;9600;1976;3;2;460;181500
3;11250;2001;3;2;608;223500
4;9550;1915;3;3;642;140000
5;14260;2000;4;3;836;250000
6;14115;1993;1;2;480;143000
7;10084;2004;3;2;636;307000
8;10382;1973;3;2;484;200000
9;6120;1931;2;2;468;129900
10;7420;1939;2;1;205;118000
11;11200;1965;3;1;384;129500
12;11924;2005;4;3;736;345000
13;12968;1962;2;1;352;144000
14;10652;2006;3;3;840;279500
15;10920;1960;2;1;352;157000
16;6120;1929;2;2;576;132000
17;11241;1970;2;2;480;149000
18;10791;1967;2;2;516;90000
19;13695;2004;3;2;576;159000
20;7560;1958;3;1;294;139000
21;14215;2005;4;3;853;325300
22;7449;1930;3;1;280;139400
23;9742;2002;3;2;534;230000
24;4224;1976;3;2;572;129900
25;8246;1968;3;1;270;154000
26;14230;2007;3;3;890;256300
27;7200;1951;3;2;576;134800
28;11478;2007;3;3;772;306000
29;16321;1957;2;1;319;207500
30;6324;1927;1;1;240;68500
31;8500;1920;3;1;250;40000
32;8544;1966;3;1;271;149350
33;11049;2007;3;2;484;179900
34;10552;1959;4;2;447;165500
35;7313;2005;2;2;556;277500
36;13418;2004;4;3;691;309000
37;10859;1994;3;2;672;145000
38;8532;1954;3;2;498;153000
39;7922;1953;3;1;246;109000
40;6040;1955;2;0;0;82000
41;8658;1965;3;2;440;160000
42;16905;1959;2;1;308;170000
43;9180;1983;2;2;504;144000
44;9200;1975;3;1;308;130250
45;7945;1959;3;1;300;141000
46;7658;2005;2;2;576;319900
47;12822;2003;1;2;670;239686
48;11096;2006;3;3;826;249700
49;4456;1920;2;0;0;113000
50;7742;1966;3;1;386;127000
51;13869;1997;3;2;388;177000
52;6240;1934;3;2;528;114500
53;8472;1963;2;2;516;110000
54;50271;1981;0;3;894;385000
55;7134;1955;3;2;572;130000
56;10175;1964;3;2;576;180500
57;2645;1999;3;2;480;172500
58;11645;2004;3;2;565;196500
59;13682;2006;3;3;641;438780
60;7200;1972;2;1;352;124900
61;13072;2004;3;2;576;158000
62;7200;1920;3;1;288;101000
63;6442;2006;2;2;484;202500
64;10300;1921;3;2;480;140000
65;9375;1997;3;2;645;219500
66;9591;2004;4;3;852;317000
67;19900;1970;3;2;576;180000
68;10665;2003;3;2;558;226000
69;4608;1945;2;1;220;80000
70;15593;1953;3;2;667;225000
71;13651;1973;3;2;516;244000
72;7599;1982;2;2;360;129500
73;10141;1998;3;2;427;185000
74;10200;1954;3;2;490;144900
75;5790;1915;3;1;379;107400
76;1596;1973;2;1;297;91000
77;8475;1956;2;1;283;135750
78;8635;1948;2;1;240;127000
79;10778;1968;4;0;0;136500
80;10440;1910;2;2;440;110000
81;13000;1968;4;1;509;193500
82;4500;1998;2;2;405;153500
83;10206;2007;3;3;758;245000
84;8892;1960;3;2;461;126500
85;8530;1995;3;2;400;168500
86;16059;1991;4;2;462;260000
87;11911;2005;3;2;400;174000
88;3951;2009;2;2;528;164500
89;8470;1915;2;0;0;85000
90;8070;1994;3;0;0;123600
91;7200;1950;2;2;420;109900
92;8500;1961;2;2;480;98600
93;13360;1921;2;2;432;163500
94;7200;1910;4;2;506;133900
95;9337;1997;3;2;684;204750
96;9765;1993;3;2;420;185000
97;10264;1999;3;2;472;214000
98;10921;1965;3;1;432;94750
99;10625;1920;2;1;366;83000
100;9320;1959;3;0;0;128950
101;10603;1977;3;2;480;205000
102;9206;1985;3;2;476;178000
103;7018;1979;4;2;410;118964
104;10402;2009;3;3;740;198900
105;7758;1931;4;1;240;169500
106;9375;2003;3;2;648;250000
107;10800;1885;2;1;273;100000
108;6000;1948;2;1;250;115000
109;8500;1919;3;0;0;115000
110;11751;1977;3;2;546;190000
111;9525;1954;4;1;325;136900
112;7750;2000;3;2;400;180000
113;9965;2007;4;3;792;383970
114;21000;1953;3;2;450;217000
115;7259;1945;3;1;180;259500
116;3230;1999;2;2;440;176000
117;11616;1962;3;1;288;139000
118;8536;2006;2;2;430;155000
119;12376;1990;5;3;594;320000
120;8461;2005;3;2;390;163990
121;21453;1969;1;2;540;180000
122;6060;1939;3;1;264;100000
123;9464;1958;3;1;288;136000
124;7892;1993;2;2;530;153900
125;17043;1979;3;2;435;181000
126;6780;1935;2;0;0;84500
127;4928;1976;2;2;440;128000
128;4388;1930;3;0;0;87000
129;7590;1966;3;2;453;155000
130;8973;1958;3;2;750;150000
131;14200;1966;4;2;487;226000
132;12224;2000;3;2;390;244000
133;7388;1959;3;2;624;150750
134;6853;2001;2;2;471;220000
135;10335;1968;3;2;440;180000
136;10400;1970;3;2;530;174000
137;10355;1967;3;1;318;143000
138;11070;1988;5;3;766;171000
139;9066;1999;3;3;660;230000
140;15426;1997;3;2;470;231500
141;10500;1971;3;0;0;115000
142;11645;2005;3;2;660;260000
143;8520;1952;4;2;720;166000
144;10335;1999;3;2;577;204000
145;9100;1963;6;2;504;125000
146;2522;2004;3;2;380;130000
147;6120;1931;2;1;180;105000
148;9505;2001;3;2;434;222500
149;7500;2004;3;0;0;141000
150;6240;1936;3;1;240;115000
151;10356;1975;3;2;440;122000
152;13891;2007;2;3;866;372402
153;14803;1971;4;2;495;190000
154;13500;1960;1;2;564;235000
155;11340;1923;4;1;312;125000
156;9600;1924;2;0;0;79000
157;7200;1950;2;2;625;109500
158;12003;2009;4;3;680;269500
159;12552;2004;3;2;678;254900
160;19378;2005;4;2;576;320000
161;11120;1984;3;2;516;162500
162;13688;2003;3;3;726;412500
163;12182;2005;3;2;532;220000
164;5500;1956;1;0;0;103200
165;5400;1926;3;1;216;152000
166;10106;1940;4;0;0;127500
167;10708;1955;2;1;303;190000
168;10562;2007;3;3;789;325624
169;8244;2004;3;2;440;183500
170;16669;1981;2;2;511;228000
171;12358;1941;2;2;660;128500
172;31770;1960;3;2;528;215000
173;5306;1987;2;2;504;239000
174;10197;1961;3;2;504;163000
175;12416;1986;3;2;616;184000
176;12615;1950;4;2;576;243000
177;10029;1988;4;2;521;211000
178;13650;1958;4;2;451;172500
179;17423;2008;1;3;1166;501837
180;8520;1923;2;2;480;100000
181;2117;2000;3;2;440;177000
182;7588;1920;4;1;216;200100
183;9060;1957;3;1;252;120000
184;11426;2003;3;2;484;200000
185;7438;1908;3;2;576;127000
186;22950;1892;4;3;840;475000
187;9947;1990;3;2;497;173000
188;10410;1916;3;1;180;135000
189;7018;1979;2;2;528;153337
190;4923;2001;0;2;682;286000
191;10570;1932;3;2;440;315000
192;7472;1972;4;2;484;184000
193;9017;1999;3;2;666;192000
194;2522;2004;3;2;380;130000
195;7180;1972;3;1;352;127000
196;2280;1976;3;2;440;148500
197;9416;2007;3;3;786;311872
198;25419;1918;4;2;795;235000
199;5520;1912;5;0;0;104000
200;9591;2004;3;3;856;274900
201;8546;2003;2;2;440;140000
202;10125;1977;3;2;473;171500
203;7000;1924;2;1;398;112000
204;4438;2004;1;2;420;149000
205;3500;1947;2;1;240;110000
206;11851;1990;3;2;500;180500
207;13673;1962;3;1;349;143900
208;12493;1960;3;1;312;141000
209;14364;1988;3;2;454;277000
210;8250;1964;3;2;504;145000
211;5604;1925;2;0;0;98000
212;10420;2009;3;2;460;186000
213;8640;2009;3;2;644;252678
214;13568;1995;3;2;576;156000
215;10900;1977;3;1;299;161750
216;10011;1957;2;1;447;134450
217;8450;2004;3;2;484;210000
218;9906;1925;3;1;210;107000
219;15660;1939;3;2;431;311500
220;3010;2005;2;2;438;167240
221;8990;2006;2;2;675;204900
222;8068;2002;4;2;390;200000
223;11475;1975;3;2;434;179900
224;10500;1971;2;2;576;97000
225;13472;2003;3;3;968;386250
226;1680;1971;3;1;280;112000
227;9950;1995;4;3;721;290000
228;1869;1970;2;1;280;106000
229;8521;1967;3;1;336;125000
230;3182;2005;2;2;430;192500
231;8760;1959;3;1;312;148000
232;15138;1995;4;3;810;403000
233;1680;1972;2;1;288;94500
234;10650;1976;3;1;308;128200
235;7851;2002;4;2;440;216500
236;1680;1971;2;1;264;89500
237;8773;2004;3;2;494;185500
238;9453;1993;3;2;457;194500
239;12030;2007;3;3;818;318000
240;8741;1945;3;1;220;113000
241;9000;2008;3;2;750;262500
242;3880;1945;2;0;0;110500
243;5000;1900;3;1;352;79000
244;10762;1980;3;1;288;120000
245;8880;1994;3;2;463;205000
246;10400;1988;3;2;604;241500
247;9142;1910;4;1;440;137000
248;11310;1954;2;2;451;140000
249;11317;2003;3;2;500;180000
250;159000;1958;4;2;389;277000
251;5350;1940;3;0;0;76500
252;4750;2006;2;2;538;235000
253;8366;2004;3;2;520;173000
254;9350;1964;3;1;309;158000
255;8400;1957;3;1;294;145000
256;8738;1999;4;2;429;230000
257;8791;2003;3;2;673;207500
258;8814;2006;3;2;660;220000
259;12435;2001;3;2;564;231500
260;12702;1956;2;1;308;97000
261;19296;1962;3;2;884;176000
262;9588;2007;3;3;868;276000
263;8471;1977;3;2;492;151000
264;5500;1929;3;2;484;130000
265;5232;1925;2;2;504;73000
266;12090;1981;3;2;576;175500
267;11207;1997;3;2;413;185000
268;8400;1939;4;1;240;179500
269;6900;1940;2;1;924;120500
270;7917;1976;3;1;504;148000
271;10728;2006;3;3;1053;266000
272;39104;1954;2;2;439;241500
273;11764;1999;4;3;671;290000
274;9600;1958;3;1;338;139000
275;8314;1982;2;1;264;124500
276;7264;1925;3;2;672;205000
277;9196;2003;3;2;573;201000
278;19138;1951;2;2;400;141000
279;14450;2006;3;3;732;415298
280;10005;1977;4;2;505;192000
281;11287;1989;3;2;575;228500
282;7200;2006;2;2;572;185000
283;5063;2007;2;2;626;207500
284;9612;2008;3;3;898;244600
285;8012;1992;2;2;529;179200
286;4251;2006;2;2;528;164700
287;9786;1962;3;2;440;159000
288;8125;1971;3;0;0;88000
289;9819;1967;3;1;280;122000
290;8730;1915;3;1;384;153575
291;15611;2006;3;2;685;233230
292;5687;1912;6;0;0;135900
293;11409;1949;3;1;281;131000
294;16659;1977;3;2;539;235000
295;9600;1953;3;2;418;167000
296;7937;1984;3;2;588;142500
297;13710;1950;4;1;282;152000
298;7399;1997;3;2;576;239000
299;11700;1968;3;2;539;175000
300;14000;1950;3;1;300;158500
301;15750;1953;2;1;375;157000
302;16226;1998;4;2;683;267000
303;13704;2001;3;3;843;205000
304;9800;1972;3;2;552;149900
305;18386;1880;3;3;870;295000
306;10386;2004;3;3;888;305900
307;13474;1990;4;3;746;225000
308;7920;1920;3;0;0;89500
309;12342;1940;1;2;539;82500
310;12378;2003;3;3;708;360000
311;7685;1993;3;2;420;165600
312;8000;1948;2;1;240;132000
313;7800;1939;3;2;410;119900
314;215245;1965;3;2;513;375000
315;9600;1925;3;2;546;178000
316;7795;2004;3;2;432;188500
317;13005;1980;4;2;484;260000
318;9000;2006;3;3;1025;270000
319;9900;1993;4;3;656;260000
320;14115;1980;3;2;588;187500
321;16259;2006;4;3;840;342643
322;12099;2004;4;3;872;354000
323;10380;1986;4;2;576;301000
324;5820;1955;3;1;220;126175
325;11275;1967;5;2;564;242000
326;5000;1941;2;2;360;87000
327;10846;1993;1;2;473;324000
328;11600;1960;3;1;292;145250
329;11888;1916;5;2;441;214500
330;6402;1920;3;1;189;78000
331;10624;1964;6;1;352;119000
332;8176;1958;3;1;308;139000
333;10655;2003;3;3;880;284000
334;8198;2004;2;2;484;207000
335;9042;1998;3;2;472;192000
336;164660;1965;3;2;529;228950
337;14157;2005;3;3;676;377426
338;9135;2002;3;2;532;214000
339;14145;1984;3;2;440;202500
340;12400;1958;3;1;297;155000
341;14191;2002;4;2;431;202900
342;8400;1950;2;1;294;82000
343;8544;1949;2;2;400;87500
344;8849;2005;2;2;564;266000
345;2592;1976;3;1;336;85000
346;6435;1939;3;1;312;140200
347;12772;1960;2;1;301;151500
348;17600;1960;3;2;498;157500
349;2448;2003;2;2;474;154000
350;20431;2005;4;3;706;437154
351;7820;2007;2;2;617;318061
352;5271;1986;2;2;445;190000
353;9084;1941;3;1;200;95000
354;8520;1928;2;2;484;105900
355;8400;1940;2;1;240;140000
356;11249;1995;3;2;521;177500
357;9248;1992;3;2;400;173000
358;4224;1976;3;2;528;134000
359;6930;1958;3;1;288;130000
360;12011;1998;3;2;592;280000
361;7540;1978;2;2;470;156000
362;9144;1940;3;1;240;145000
363;7301;2003;4;2;672;198500
364;1680;1972;2;1;264;118000
365;18800;1976;3;2;566;190000
366;10690;1920;3;1;468;147000
367;9500;1963;3;2;514;159000
368;9150;1962;3;1;296;165000
369;7800;1954;2;1;244;132000
370;9830;1959;3;2;576;162000
371;8121;2000;3;2;460;172400
372;17120;1959;4;2;680;134432
373;7175;1984;2;1;264;125000
374;10634;1953;3;1;270;123000
375;8200;2003;4;2;434;219500
376;10020;1922;1;0;0;61000
377;8846;1996;2;2;576;148000
378;11143;2004;4;2;610;340000
379;11394;2010;1;3;834;394432
380;8123;2000;3;2;463;179000
381;5000;1924;3;1;308;127000
382;7200;2006;2;2;572;187750
383;9245;2006;3;2;639;213500
384;9000;1928;2;2;360;76000
385;53107;1992;3;2;501;240000
386;3182;2004;2;2;430;192000
387;8410;1910;5;0;0;81000
388;7200;1976;3;1;352;125000
389;9382;1999;3;2;577;191000
390;12474;2007;3;3;846;426000
391;8405;1900;4;1;384;119000
392;12209;2001;3;2;560;215000
393;8339;1959;3;1;294;106500
394;7446;1941;2;0;0;100000
395;10134;1940;2;1;240;109000
396;9571;1956;3;1;596;129000
397;7200;1972;2;2;600;123000
398;7590;1962;4;1;264;169500
399;8967;1920;2;1;338;67000
400;8125;2006;2;2;438;241000
401;14963;1996;1;2;500;245500
402;8767;2005;3;2;400;164990
403;10200;1940;2;1;240;108000
404;12090;1998;4;2;420;258000
405;10364;1995;3;2;373;168000
406;9991;1976;3;2;490;150000
407;10480;1936;3;1;240;115000
408;15576;1915;4;1;308;177000
409;14154;2006;3;3;947;280000
410;10800;2007;3;3;836;339750
411;9571;1958;3;1;350;60000
412;34650;1955;3;2;572;145000
413;4403;2009;2;2;484;222000
414;8960;1927;2;2;360;115000
415;11228;1993;3;3;678;228000
416;8899;2007;3;2;396;181134
417;7844;1978;3;2;440;149500
418;22420;1918;4;3;864;239000
419;8160;1940;3;1;240;126000
420;8450;1968;3;1;304;142000
421;7060;1997;2;4;784;206300
422;16635;1977;3;2;529;215000
423;21750;1954;2;2;520;113000
424;9200;1998;4;3;696;315000
425;9000;1956;2;1;297;139000
426;3378;1946;3;1;240;135000
427;12800;1989;2;2;569;275000
428;8593;1957;3;1;352;109008
429;6762;2007;2;2;628;195400
430;11457;1988;3;2;576;175000
431;1680;1971;2;1;264;85400
432;5586;1920;4;0;0;79900
433;1920;1971;2;2;440;122500
434;10839;1997;3;2;470;181000
435;1890;1972;1;0;0;81000
436;10667;1996;3;2;550;212000
437;4400;1920;2;2;440;116000
438;6000;1926;2;1;180;119000
439;4280;1913;2;1;352;90350
440;12354;1920;3;2;528;110000
441;15431;2008;2;3;672;555000
442;12108;1955;4;0;0;118000
443;6240;1930;3;2;360;162900
444;3922;2006;2;3;648;172500
445;8750;1994;4;2;493;210000
446;9855;1956;3;2;480;127500
447;16492;1966;2;2;578;190000
448;11214;1998;4;2;431;199900
449;8600;1937;3;1;198;119500
450;6000;1948;2;1;308;120000
451;5684;1930;2;1;270;110000
452;70761;1975;2;2;576;280000
453;9303;1996;3;2;422;204000
454;9000;2008;3;2;676;210000
455;9297;1976;4;2;560;188000
456;9600;1973;3;2;528;175500
457;4571;1916;4;3;513;98000
458;53227;1954;2;2;529;256000
459;5100;1925;3;1;228;161000
460;7015;1950;3;1;352;110000
461;8004;2009;3;2;552;263435
462;7200;1936;3;2;576;155000
463;8281;1965;3;1;360;62383
464;11988;1934;3;1;240;188700
465;8430;1978;3;0;0;124000
466;3072;2004;2;2;398;178740
467;10628;1970;2;2;526;167000
468;9480;1942;3;1;312;146500
469;11428;2006;3;3;866;250000
470;9291;1993;3;2;506;187000
471;6820;1985;1;2;528;212000
472;11952;1977;3;2;534;190000
473;3675;2005;2;2;525;148000
474;14977;2006;2;3;908;440000
475;5330;2000;2;2;499;251000
476;8480;1963;2;2;624;132500
477;13125;1997;3;2;508;208900
478;13693;2006;3;3;694;380000
479;10637;2007;3;3;826;297000
480;5925;1937;2;2;672;89471
481;16033;2004;3;3;772;326000
482;11846;2003;2;3;874;374000
483;2500;1915;4;1;164;155000
484;4500;1998;2;2;402;164000
485;7758;1962;3;1;264;132500
486;9600;1950;3;1;264;147000
487;10289;1965;3;2;515;156000
488;12243;1971;3;2;487;175000
489;10800;1900;3;2;520;160000
490;1526;1970;1;1;286;86000
491;2665;1976;3;1;336;115000
492;9490;1941;3;1;240;133000
493;15578;2006;3;2;429;172785
494;7931;1960;3;1;308;155000
495;5784;1938;2;1;273;91300
496;7879;1920;2;0;0;34900
497;12692;1992;4;2;546;430000
498;9120;1925;4;1;240;184000
499;7800;1967;3;1;288;130000
500;7535;1958;2;1;297;120000
501;1890;1973;3;1;264;113000
502;9803;2005;3;2;603;226700
503;9170;1965;2;2;461;140000
504;15602;1959;1;2;484;289000
505;2308;1974;3;2;440;147000
506;7596;1952;4;2;400;124500
507;9554;1993;3;2;471;215000
508;7862;2009;2;2;676;208300
509;9600;1928;3;2;360;161000
510;9600;1959;3;1;270;124500
511;14559;1951;2;1;288;164900
512;6792;2005;2;2;474;202665
513;9100;1958;3;2;624;129900
514;9187;1983;3;2;484;134000
515;10594;1926;2;1;200;96500
516;12220;2009;3;3;900;402861
517;10448;1972;3;2;583;158000
518;10208;1996;3;3;889;265000
519;9531;1998;3;2;546;211000
520;10918;1926;3;1;282;234000
521;10800;1900;3;0;0;106250
522;11988;1957;3;1;336;150000
523;5000;1947;3;2;420;159000
524;40094;2007;3;3;884;184750
525;11787;1996;3;3;834;315750
526;7500;2005;3;2;453;176000
527;13300;1956;2;1;252;132000
528;14948;2008;3;3;858;446261
529;9098;1920;2;0;0;86000
530;32668;1957;4;2;484;200624
531;10200;1988;3;2;600;175000
532;6155;1920;3;2;502;128000
533;7200;1955;2;1;392;107500
534;5000;1946;1;0;0;39300
535;9056;2004;3;2;403;178000
536;7000;1910;3;0;0;107500
537;8924;1998;3;2;527;188000
538;12735;1972;3;2;576;111250
539;11553;1968;3;1;336;158000
540;11423;2001;3;2;670;272000
541;14601;2006;2;3;765;315000
542;11000;2000;4;3;648;248000
543;10140;1998;3;2;583;213250
544;4058;1998;1;1;367;133000
545;17104;2006;3;2;426;179665
546;13837;1988;4;3;786;229000
547;8737;1923;3;2;440;210000
548;7244;1970;2;2;624;129500
549;8235;1955;2;2;720;125000
550;9375;2003;4;2;615;263000
551;4043;1977;2;2;440;140000
552;6000;1957;3;1;288;112500
553;11146;2006;3;3;908;255500
554;8777;1949;2;2;520;108000
555;10625;2003;3;3;871;284000
556;6380;1922;2;1;280;113000
557;14850;1957;2;1;299;141000
558;11040;1920;3;1;570;108000
559;21872;1996;3;2;406;175000
560;3196;2003;2;2;420;234000
561;11341;1957;3;2;528;121500
562;10010;1974;2;2;418;170000
563;13907;1940;3;0;0;108000
564;21780;1918;4;2;396;185000
565;13346;1992;4;2;590;268000
566;6858;1915;4;1;216;128000
567;11198;2005;4;3;656;325000
568;10171;2004;3;2;532;214000
569;12327;1983;1;2;612;316600
570;7032;1979;2;2;600;135960
571;13101;1965;6;2;576;142600
572;7332;1959;2;1;288;120000
573;13159;2009;3;2;650;224500
574;9967;2000;3;2;400;170000
575;10500;1971;3;1;288;139000
576;8480;1947;2;1;336;118500
577;6292;1928;3;1;216;145000
578;11777;1966;3;2;564;164500
579;3604;2007;2;2;540;146000
580;12150;1954;4;1;352;131500
581;14585;1960;3;2;572;181900
582;12704;2008;3;3;1390;253293
583;11841;1990;3;0;0;118500
584;13500;1893;3;2;880;325000
585;6120;1935;3;1;240;133000
586;11443;2005;2;3;880;369900
587;10267;1918;2;1;275;130000
588;8740;1982;2;2;528;137000
589;25095;1968;1;1;452;143000
590;9100;1930;2;1;308;79500
591;8320;2004;3;2;520;185900
592;13478;2008;3;3;842;451950
593;6600;1982;2;2;816;138000
594;4435;2003;1;2;420;140000
595;7990;1975;3;1;280;110000
596;11302;2005;3;3;758;319000
597;3600;1910;3;1;216;114504
598;3922;2006;2;3;648;194201
599;12984;1977;3;2;621;217500
600;1950;1980;3;2;452;151000
601;10927;2005;3;2;736;275000
602;9000;1937;3;1;544;141000
603;10041;1992;3;2;506;220000
604;3182;2004;2;2;480;151000
605;12803;2002;3;2;530;221000
606;13600;1965;3;2;486;205000
607;12464;1996;3;2;576;152000
608;7800;1948;3;1;230;225000
609;12168;1934;4;2;380;359100
610;7943;1961;3;1;261;118500
611;11050;2000;3;3;736;313000
612;10395;1978;3;2;564;148000
613;11885;2001;3;2;531;261500
614;8402;2007;3;0;0;147000
615;1491;1972;1;0;0;75500
616;8800;1963;3;2;480;137500
617;7861;2002;3;2;393;183200
618;7227;1954;2;2;528;105500
619;11694;2007;3;3;774;314813
620;12244;2003;4;3;749;305000
621;8248;1914;2;0;0;67000
622;10800;1974;4;2;624;240000
623;7064;1977;3;2;484;135000
624;2117;2000;2;2;440;168500
625;10400;1972;4;2;484;165150
626;10000;1962;3;2;440;160000
627;12342;1960;3;1;286;139900
628;9600;1955;3;1;364;153000
629;11606;1969;5;2;504;135000
630;9020;1964;3;2;520;168500
631;9000;1880;3;1;240;124000
632;4590;2006;2;2;627;209500
633;11900;1977;3;2;544;82500
634;9250;1954;3;1;260;139400
635;6979;1980;0;2;576;144000
636;10896;1914;8;0;0;200000
637;6120;1936;1;0;0;60000
638;6000;1954;3;1;256;93000
639;8777;1910;2;0;0;85000
640;3982;2006;1;3;648;264561
641;12677;2003;1;2;588;274000
642;7050;2001;3;2;650;226000
643;13860;1972;4;2;538;345000
644;10793;1969;4;2;462;152000
645;9187;2009;2;3;478;370878
646;10530;1971;3;2;576;143250
647;7200;1950;3;2;420;98300
648;10452;1953;3;2;495;155000
649;7700;1966;4;2;442;155000
650;1936;1970;1;0;0;84500
651;8125;2007;3;2;562;205950
652;9084;1940;4;1;296;108000
653;8750;1996;2;2;512;191000
654;10320;1906;3;1;216;135000
655;10437;1995;2;3;839;350000
656;1680;1971;3;1;264;88000
657;10007;1959;3;1;312;145500
658;7200;1931;3;1;270;149000
659;17503;1948;3;1;330;97500
660;9937;1964;3;2;480;167000
661;12384;1976;3;2;550;197900
662;46589;1994;4;3;711;402000
663;13560;1968;2;2;576;110000
664;10012;1972;3;2;588;137500
665;20896;2005;1;3;1134;423000
666;11194;2000;3;2;504;230500
667;18450;1965;3;2;596;129000
668;8125;1994;3;2;575;193500
669;14175;1956;3;2;576;168000
670;11600;1922;2;1;252;137500
671;8633;2005;3;2;540;173500
672;6629;1925;3;1;300;103600
673;11250;1977;3;2;546;165000
